pm2.5,pm10,temperature,humidity,date,time,building
43.9,75.9,20.42305638,51.94934005,2015-01-10,10:00:00,Stokes
44.4,76.5,20.39635309,51.96459907,2015-01-11,10:00:00,Stokes
44.6,76.5,20.42305638,52.00427253,2015-01-12,10:00:00,Stokes
44.4,75.4,20.38300145,52.04089418,2015-01-13,10:00:00,Stokes
44.6,76.3,20.40970474,52.14160372,2015-01-14,10:00:00,Stokes
44.8,76.7,20.38300145,52.18280308,2015-01-15,10:00:00,Stokes
45,76.8,20.39635309,52.20569162,2015-01-16,10:00:00,Stokes
45.2,77,20.38300145,52.1934844,2015-01-17,10:00:00,Stokes
45,75.9,20.38300145,52.1934844,2015-01-18,10:00:00,Stokes
45.1,75.4,20.38300145,52.17059586,2015-01-19,10:00:00,Stokes
45.4,75.8,20.36697948,52.15991455,2015-01-20,10:00:00,Stokes
45.5,75.6,20.35362783,52.1232929,2015-01-21,10:00:00,Stokes
45.6,75.8,20.32692454,52.06530861,2015-01-22,10:00:00,Stokes
45.9,77,20.35362783,52.00122072,2015-01-23,10:00:00,Stokes
46.7,77.9,20.32692454,51.88982986,2015-01-24,10:00:00,Stokes
46.7,78.3,20.34027619,51.74944686,2015-01-25,10:00:00,Stokes
47.5,77.6,20.31090257,51.55260548,2015-01-26,10:00:00,Stokes
47.5,77.2,20.29755093,51.48241398,2015-01-27,10:00:00,Stokes
47.2,76.9,20.28419928,51.39696345,2015-01-28,10:00:00,Stokes
46.9,76.6,20.28419928,51.35118639,2015-01-29,10:00:00,Stokes
46.9,77,20.28419928,51.27794308,2015-01-30,10:00:00,Stokes
46.7,76.1,20.26817731,51.25352865,2015-01-31,10:00:00,Stokes
46.7,76.8,20.26817731,51.25352865,2015-02-01,10:00:00,Stokes
47.1,77,20.24147402,51.29625391,2015-02-02,10:00:00,Stokes
47.7,77.1,20.24147402,51.38170443,2015-02-03,10:00:00,Stokes
47.9,76.5,20.24147402,51.39238575,2015-02-04,10:00:00,Stokes
48,76.7,20.24147402,51.45037003,2015-02-05,10:00:00,Stokes
48,77.5,20.2121004,51.55565728,2015-02-06,10:00:00,Stokes
48.2,77.5,20.2121004,51.62432288,2015-02-07,10:00:00,Stokes
48.1,77.1,20.2121004,51.7769131,2015-02-08,10:00:00,Stokes
48.1,76.1,20.22812238,51.89898528,2015-02-09,10:00:00,Stokes
48.2,75.9,20.18539712,52.03631647,2015-02-10,10:00:00,Stokes
48.3,76.2,20.18539712,52.16906996,2015-02-11,10:00:00,Stokes
48.4,76.3,20.18539712,52.22400244,2015-02-12,10:00:00,Stokes
48.5,75.6,20.1560235,52.33844511,2015-02-13,10:00:00,Stokes
48.5,74.9,20.16937514,52.39490349,2015-02-14,10:00:00,Stokes
48.7,75.1,20.14267185,52.41321431,2015-02-15,10:00:00,Stokes
48.7,75.3,20.16937514,52.4071107,2015-02-16,10:00:00,Stokes
49,76.9,20.09994659,52.4727245,2015-02-17,10:00:00,Stokes
49,76.9,20.14267185,52.51239796,2015-02-18,10:00:00,Stokes
48.8,76.2,20.12932021,52.5444419,2015-02-19,10:00:00,Stokes
48.7,76,20.11329824,52.55054551,2015-02-20,10:00:00,Stokes
48.7,75.3,20.09994659,52.60395209,2015-02-21,10:00:00,Stokes
48.4,74.1,20.09994659,52.61768521,2015-02-22,10:00:00,Stokes
48.3,74.3,20.08659495,52.62378882,2015-02-23,10:00:00,Stokes
48.3,73.9,20.07057298,52.57801175,2015-02-24,10:00:00,Stokes
48.3,75.3,20.07057298,52.60090028,2015-02-25,10:00:00,Stokes
48.2,74.9,20.07057298,52.52613107,2015-02-26,10:00:00,Stokes
48.4,74.3,20.05722133,52.45746548,2015-02-27,10:00:00,Stokes
48.7,74.7,20.03051804,52.44373236,2015-02-28,10:00:00,Stokes
48.9,75.5,20.03051804,52.46662089,2015-03-01,10:00:00,Stokes
48.7,75.2,20.03051804,52.51850156,2015-03-02,10:00:00,Stokes
